filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,Metal 1,Percent 1,Metal 2,Percent 2,Hydrophobic / Hydrophilic
LUNBAX_clean,5.92168,4.6498,5.91414,1.91328,2588.47,1352.9,0,0,0.676,0.353321,0,Yes,Fe,0.099535814,W,0.6553376,0
LUNBEB_clean,5.83182,4.56735,5.65089,1.97905,2446.69,1236.29,0,0,0.6622,0.334605,0,Yes,Co,0.10446508,W,0.651750191,0
LUNBIF_clean,8.36527,6.6245,8.36354,1.86674,2385.2,1277.73,8.72646,4.67469,0.7178,0.38452,0,Yes,Zn,0.079422348,W,0.669975729,0
LUYHAP_clean,12.05622,6.74493,12.05603,0.618537,2287.3,3697.93,0,0,0.7716,1.24746,0,Yes,Cu,0.12674927,Cu,0.12674927,0
MADVUJ_clean,5.32382,4.69426,5.32382,1.65668,675.478,407.729,0,0,0.418,0.252311,0,No,Cu,0.068642801,Cu,0.068642801,0
MADWAQ_clean,5.18677,4.51055,5.17631,1.52314,635.031,416.921,0,0,0.412,0.270493,0,No,Cu,0.076400544,Cu,0.076400544,0
MEHPAQ_clean,3.09554,2.64049,3.09554,1.68847,0,0,0,0,0.4046,0.239626,0,Yes,Cu,0.152271638,Cu,0.152271638,0
MIBQAR_clean,15.09102,7.94876,15.09102,0.589235,2199.79,3733.3,0,0,0.8108,1.37602,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR01_clean,15.09334,7.95441,15.09334,0.589872,2199.6,3728.95,0,0,0.8106,1.3742,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR02_clean,15.08377,7.95705,15.07882,0.590375,2198.21,3723.41,0,0,0.8108,1.37336,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR03_clean,15.08046,7.94715,15.08046,0.591121,2200.28,3722.22,0,0,0.8102,1.37062,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR04_clean,15.07174,7.95678,15.07174,0.591383,2198.87,3718.18,0,0,0.8104,1.37035,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR05_clean,15.06944,7.95595,15.05344,0.592082,2197.73,3711.86,0,0,0.8102,1.36839,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR06_clean,15.07592,7.95659,15.07592,0.592452,2197.07,3708.44,0,0,0.8102,1.36754,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR07_clean,15.05956,7.95683,15.03118,0.592909,2196.69,3704.94,0,0,0.8102,1.36648,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR08_clean,15.05449,7.95706,15.05449,0.593318,2194.51,3698.7,0,0,0.8102,1.36554,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR10_clean,15.02988,7.96456,15.02988,0.594411,2192.92,3689.24,0,0,0.81,1.36269,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR11_clean,15.03541,7.96187,15.03541,0.594831,2195.77,3691.41,0,0,0.8098,1.36139,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR12_clean,15.03023,7.95939,15.03023,0.59534,2195.53,3687.86,0,0,0.8098,1.36023,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR13_clean,15.02547,7.95733,15.02547,0.595663,2194.76,3684.57,0,0,0.81,1.35983,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR14_clean,15.01814,7.96071,15.01814,0.596281,2194.22,3679.85,0,0,0.8096,1.35775,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR15_clean,15.01631,7.96131,15.0003,0.596428,2194.87,3680.03,0,0,0.8098,1.35775,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR16_clean,15.00006,7.9611,15.00006,0.597056,2195.04,3676.45,0,0,0.8098,1.35632,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR18_clean,14.9999,7.96708,14.98442,0.597794,2194.04,3670.23,0,0,0.8096,1.35431,0,No,Zn,0.169847519,Zn,0.169847519,0
MIBQAR19_clean,14.98276,7.9671,14.98276,0.598681,2192.1,3661.55,0,0,0.8094,1.35197,0,No,Zn,0.169847519,Zn,0.169847519,0
MIZKOW_clean,3.8316,3.43471,3.8316,1.99445,193.651,97.0949,0,0,0.3706,0.185815,0,Yes,La,0.259793983,Cu,0.118849664,0
MOBBIO_clean,5.66644,4.51564,5.66644,0.981281,2678.54,2729.64,0,0,0.6804,0.693379,0,No,Y,0.088405493,Y,0.088405493,0
MOCKEV_clean,10.91306,6.61562,10.91306,0.767829,2301.91,2997.95,0,0,0.734,0.955943,0,Yes,Cu,0.132023884,Cu,0.132023884,0
MODMOH_charged,4.80016,2.61164,4.79866,1.66795,0,0,513.641,307.947,0.4958,0.29725,0,No,Cd,0.267523969,Cd,0.267523969,0
MODMUN_charged,4.80445,2.55842,4.80445,1.7099,0,0,467.402,273.35,0.484,0.283057,0,No,Cd,0.265491031,Cd,0.265491031,0
MODNAU_charged,4.86966,3.5837,4.85998,1.61768,883.144,545.932,0,0,0.542,0.335048,0,Yes,Cd,0.27530094,Cd,0.27530094,0
MODNEY_charged,4.24468,3.58274,4.21866,1.70651,381.707,223.677,0,0,0.4698,0.275299,0,Yes,Cd,0.258007804,Cd,0.258007804,0
MODNIC_clean,5.24657,3.69518,4.6388,1.35865,1975.58,1454.07,0,0,0.6774,0.498582,0,Yes,Cd,0.324665748,Cd,0.324665748,0
MODNOI_ion_b,4.69367,3.76314,4.57829,1.59692,967.946,606.132,0.0371682,0.0232749,0.536,0.335646,0,Yes,Cd,0.27530094,Cd,0.27530094,0
MODNUO_ion_b,4.66372,3.69734,4.59177,1.60534,930.362,579.543,0.167447,0.104306,0.5352,0.333388,0,Yes,Cd,0.27530094,Cd,0.27530094,0
